"filename", "language", "JSON with Comments", "JSON", "Markdown", "Docker", "HTML", "JavaScript", "TypeScript", "SCSS", "TypeScript JSX", "XML", "CSS", "Ignore", "comment", "blank", "total"
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\Dockerfile", "Docker", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\package-lock.json", "JSON", 0, 18273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18274
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\package.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 23, 2, 41
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\public\manifest.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\readme.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\AppConfig.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\ProjectApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\ProviderDetailsApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\ReportApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\TaskApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\UserApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\UserOpportunityApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\UserProviderRequestApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\core\EntityRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\core\RESTApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 3, 10, 121
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\core\Repository.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 15, 10, 57
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\api\core\SessionRepo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\add.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\arrow-back.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\backgroundShapes.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 10
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\check-all.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\check-old.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\checked.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\collapsed.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\download.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\expanded.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\open-in-new.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\reload.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\start.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\stop.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\unchecked.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\assets\upload.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\addInput\AddInput.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 3, 13
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\addInput\AddInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 3, 6, 43
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\addInput\IAddInputProps.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 12, 4, 22
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\button\Button.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\button\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\button\IButtonProps.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\card\Card.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\card\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\card\ICardProps.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\collapse\Collapse.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\collapse\Collapse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\collapse\ICollapseProps.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\confirmIcon\ConfirmIcon.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\confirmIcon\ConfirmIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\confirmIcon\IConfirmIconProps.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\crudButtonPanel\CrudButtonPanel.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\crudButtonPanel\CrudButtonPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\crudButtonPanel\ICrudButtonPanelProps.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\dateTimeSpanFilter\DateTimeSpanFilter.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\dateTimeSpanFilter\DateTimeSpanFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"c:\Users\vtewe\VisualStudioCodeProjects\freelance-projects-fullstack.react\frontend\src\components\dateTimeSpanFilter\IDateTimeSpanFilterProps.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
